dept,rev
1,"i put them on at the doctor's office and the first time i had to take them off, sure enough, ran them. otherwise, liked them very much.
"
2,"this cord was advertised as fitting an lg2000 phone which it did not.
"
2,"do not buy my phone looks and works better with out cover
"
2,"the costume came fast and fit awesome. my only complaint was with the shoe coverings. they broke easily and would not stay on my daughters shoes so we ended up not using them.
"
3,"this device does well enough keeping the coffee warm, but i have black gunk along the bottom of every cup and mug that has sat on the warming pad, which seems to come off only with a long soaking in clr.
"
2,"as someone else commented, the ear buds tend to fall out once in a while as they're a bit big. 4-stars only because i bought these for $9 inc. shipping but not worth buying if you have to pay upwards of $20. buy an adapter instead and use ipod or sony buds.ps: haven't used them for making a call yet.
"
2,"this lunch box was actually too small and too flimsy to be used as such. my grandson puts disney miniature cars in it, instead. once he filled it up, the latch would barely stay closed in order to hold the contents. basically, it's a cheap piece of metal with disney cars painted on it to justify its price.
"
2,"i bought this phone as a replacement for my startac and have regretted it since. it feels poorly constructed, the menus are difficult to navigate, and the buttons are so recessed that it is difficult to push them. my biggest complaint is that there appears to be no way to go from high volume to vibrate noiselessly (each push of the volume button makes a beep). i loved that feature on my startac. look elsewhere for a good flip phone.
"
2,"the jabra freespeak bt250 is not ready to be utilized in the business enviroment. i have used it for three months with the new sanyo multimedia 7400 phone, i found: a very short battery life, average reception, and a shorter roaming range from my phone {suppose to be able to move 30 feet away from your phone, i couldn't get it to work beyond 10 feet}. additionally, people would often tell me that they heard excessive noise in the background when a moderate wind is blowing.
"
1,"this shirt was labeled large, but it was more along the lines of xl to xxl. unfortunately after paying extra shipping charges, i had to pay more shipping charges to return. i won't buy from this supplier again unless they offer free return shipping.
"
2,"the battery did not work at all. it had a slight bubble hump on the pack. it was unfortunate because i needed it before a trip i was taking. however, i was able to get another one from the third party that sent it and then returned the bad one back a day before i had to leave.
"
2,"the nokia 900 mah nimn extended vibrating battery is anything but extended unless you are counting the time you will have it in a charger trying to keep it charged. i have had mine 41 days and am already having trouble keeping it charged. my phone is on about 10 hours per day with minimal talk time, usually less than 30 mins. per day.
"
2,"it advertises as 14"" and it is completely false. 14"" includes the clear plastic outside the frame!!!what a rip-off. do not think this is the real 14"" display for $200! it's more like a over-priced 7"" display. too bad it does not have 1/2-star on here!
"
1,"the shirt fits well, good style, good shirt. but bealls of florida sucks as a retailer. their customer service is rude, crude, and unrefined. even the supervisors of customer service suck, they don't return or accept any items back. so beware, you better be damn sure that size fits (ordered product before). because bealls of florida will not let you return the item for different size or style. i will not shop here again! i repeat, i will not shop here again. this place sucks as far as a retailer.
"
3,"i know it's called a beverage warmer, but it barely does that. i wouldn't recommend this at all. i had a cup warmer by dazey (can't find it now) and it kept my drink hot, as it should. i mean who wants a warm beverage, which this warmer barely does.
"
2,"i am not at all happy with the case. it has not been designed to make sure that the phone does not fall off. it can slip easily when you sit.
"
2,"the replacement battery arrived on time but it did not fit easily into my motorola v557 phone like the original battery does. when i got it in, put the back on the phone, and connected the charger, the phone indicated that it could not charge the battery. i contacted bargaincell and they offered a refund if i return the battery prepaid. this seems reasonable except that the packaging and shipping cost about as much as the battery (only $1 less). i don't mind paying it once to get the battery but i'm not about to pay it again to return the battery.
"
1,"i purchased an under armour compression tee at a local store in a size large. the shirt fit fantastic. i wanted a back up so i purchased this one online size large, different color. the shirt arrives on time, open the package and it is a large but does not even fit over my shoulders.... i contacted the vendor for an exchange. they do not do exchanges but will allow me to return the shirt. if the shirt was worn it has to be washed before returning it... no problem for i could not get the shirt on anyway so tags etc were all in place. if you pass 30 days, there is a restocking fee of 20% which i was unaware of.when i questioned the vendor why i have a large and ordered the same size it did not fit. the vendor stated that under armour has different sizing charts for different shirts. that just did not make sense. how are you to buy a product with ""floating"" sizes.so, i went online to nordstrum to find the same exact heat guard compression tee. there was a size chart that could be pulled up to check size before ordering.... only 1 chart for under armour. i did all the measurements correctly to find that i was to order a large.i know the shirt fits tight but since i already had a large that fits, and the chart from under armor at nordstrum confirmed that i had ordered the correct shirt size, the statement that there are different size charts for different under armour shirts "" just doesn't fit!"".i personally will visit a store and actually try it on to avoid the hassle and disappointment of waiting for a product that does not fit, seemingly was ordered correctly, and then had to be mailed back.
"
2,"this phone is very pretty, but it has many flaws- it crashes repeatedly, even during phone calls...it smudges quite easily and is very prone to scratching(so make sure to buy a case too)the reception is allright(sometimes there's an echo)-i use t-mobile, and if you look at the manual-you should get used to this phone in time. bottom line: not nearly as great as it seems-
"
3,"we had to buy a new lunchbox for our son after 2 months (a different brand, machine-washable) because this one is way too hard to clean. i have turned it completely inside out, scrubbed between all the cracks, and still food is stuck in the seams andthreads. it is very durable, but we can't get rid of the smell or stains with a reasonable amount of effort.
"
1,"this shirt is absolutely the worst in the market. the fabric is cheap, so cheap, that i threw the darn thing away
"
2,"push buttons on the rim are exposed and active even when the cover is closed. they cannot be disabled. these buttons control ring profiles so that the phone will change to silent without warning.
"
