department,review
Clothing_Accessories,"i have big legs and legs on this were too big while the waist area too tight even though i followed the instructions. had to return it.
"
Clothing_Accessories,"normally, you'd expect a company to understand a man and his underwear. sadly, ua does not.when i received this underwear, i was able to wear it once. once. why? because it simply fell the hell apart half way through my day as i was wearing it.chances are, this is just a defective case. yeah, probably. so what do i do? i go and contact ua support. first of all, i had to continuously try to get them to actually talk to me. i'd say i had a problem with their underwear breaking down on me. what do they say? to use the return form and send it back, followed by an immediate disconnection! i had to try continuously contacting them to get them to say anything else what so ever. when i finally do, i ask whether or not i could just provide proof of purchase (a receipt + picture). they simply deny me.i mean, really. sending back a gross, dirty pair of underwear that you sweated in all day to the point they break isn't something you want to do. after denying me, they refused to talk to me whatsoever. they simply disconnect as soon as i enter the chat, refusing to talk to me at all! furthermore, their employees constantly gave attitude and belittled me at the same time.ua, you're a damn shame. a damn shame.
"
Cell_Phones_Accessories,"this charger works great on my motorola razr v3m, but i'd just like to point out that this is not as pictured. the m on the front of the cigarette lighter jack does not light up blue, but rather there is a blue led beneath the m. this is obviously, as another reviewer stated, a knock off of the original. i'd purchase this again however, as it's $3 instead of the $8 for the one with the light-up m.
"
Cell_Phones_Accessories,"bought it in dec 06 at the mall. unfortunately paid like ten bucks.i used to carry it on my belt. recently the swivel joint popped off when i was getting out of my car, and i don't even have a pot belly.if you can afford $4 per two months of usage, get it. if not, pouch is probably better.
"
Home_Kitchen,"i'm very disappointed in this thing. i would say it needs an auto shut-off but it would be a waste of time and energy. this warmer keeps the bottom of the cup nice and warm but the liquid inside remains tepid. the warming surface is too small for my large, ceramic mug. the price was ok but i'm shopping for another. my advice, don't waste your money unless you want to warm anything larger than a demitasse.
"
Home_Kitchen,"i bought the thing, then read the reviews. i tried everything including using a flat bottom cup for maximum contact, pre-heating the cup and making sure the coffee was hot when put on the device. i left the warmer on for 5 minutes so it was ""hot"" before putting the coffee on it. when one does this, the coffee cools off(!) when on the warmer. gets cooler! it simply does not run hot enough to work. it does work if you only put an inch of pre-heated coffee in a pre-heated cup. then it keeps it semi hot. i took mine back to bb&b.
"
Home_Kitchen,"the manufacturer packed this product so poorly that the plastic joints between sections of the tree were smashed, and the pole in the center of the tree was bent beyond redemption. i have no idea how this tree looked all put together since i had to repack it and send it back. thankfully amazon.com's return policy is generous and swift - they get five stars for service! in the meantime, it was a real tree for me again this year . . . i may try to go with an artificial one next year, but will not order one online again.
"
Clothing_Accessories,"the suspenders i ordered were just what i was looking for and they were delivered in a timely fashion in time for my boyfriend's birthday!
"
Home_Kitchen,"i ordered two of these fan/lights. i wanted them for the fan.with the first one, the light wouldn't turn off. i had to remove the batteries when not using the fan. with the second one, the batteries only lasted two-and-a-half hours. six batteries should have lasted longer.
"
Cell_Phones_Accessories,"pros:- light weight solution for both an audio source and cell phone- good sound quality on both ends- comfortable fit- travel case for protectioncons:- 0.5 second delay when watching video (must use the hardwire solution)- the original msrp is a bit high for something that is not closer to perfect- not all of the audio controls work, even when using the dongle- cannot use while driving (therefore you must have another headset for this purpose)i am looking into buying this unit from a friend's electronic's store. he was gracious enough to loan a floor model to me for a night. i spent some time reading reviews from many different sites and i have to say, while the reviews at amazon were the most technically oriented, they were also the most critical. therefore, i made it my goal to attept to disprove some of the claims that i read here in the hopes of finding this product to be a real gem. among the claims that i attempted to disprove were:- failure to charge- 0.5 second delay affecting video- poor audio sound quality from dongle (i.e. when using an ipod/laptop)- hoaky switch between dongle and phone when making/receiving calls- find the source of the ""design flaw""the tests were done with the following items:- ibook g4 1.2ghz- lg vx9800 (mine)- motorola e815 (caller)- 5th gen 60gb ipod video- belkin bluetooth usb adapter (model f8t003)the first tests that we ran, naturally, were to see if we could pair the vx9800 up with the headset. that took all of two seconds; very easy. i then walked into another room and called the e815. the quality was no better or worse then any of your other higher end bluetooth headsets. what makes the difference is that you now have two ears focused in on the conversation, so in a sense, you're hearing more and paying attention more to the phone conversation (versus having the noise of the office in your other ear). i initally walked away from my cell phone and it got a bit garbled, but as soon as i brought my cell phone with me, i had no problems. i then switched phones with the caller so that i could hear what she was hearing. the quality was good. i didn't have any problems hearing what she was saying to me. voice dial worked beautifully from the headset and i didn't find myself shouting.the next test that we did was to pair up the dongle and use it with the ipod (audio first). pairing up the dongle was very easy. while edward rios claims that the audio he heard was ""no better then am radio"", i firmly disagree with this statement. i started out playing some classical (with no eq settings set on the ipod). i'll agree that the quality of the audio was not on the same level as my seinnheiser's, however once i adjusted the eq in the ipod the bass and thus the quality was improved somewhat (bass booster setting worked well). i also noticed that the track jogger did not work with the ipod. in the manual it states ""only works if bluetooth device supports bluetooth audio/video remote control profile (avrcp); does not work when using universal adapter."" this was a bit disappointing because it was feature i was looking forward to. the ""play/pause"" button did work... somewhat. the audio pauses, but not on the ipod. next we moved on to receiving a phone call. as a call came in, i heard a beep in the headset. pressing the call button, the music stopped and the call interrupted. once the call was complete, the phone hung up and the music continued (please note that the ipod did not pause during this time, only the source of the signal switched). this was tested several times. it was very easy. however, i do agree with steve gardner in his assessment that the dongle is a short term pair. in other words, if you turn the dongle off, you will need to pair it again (once again, a very simple process).on to the video. i turned on some family guy that i had on my ipod. i indeed did notice that there was some amount of delay, but with cartoon characters, it wasn't that obvious. not a problem, i decided to up the ante. i then turned on an episode of the office, specifically a scene where steve carrell is speaking. yes, there is a .05 second delay. it seems to fluctuate as if the dongle is racing to catch up. i then put the pulsar in headset mode by turning it off and plugging in the hardwire cable. this fixed the problem (this same resolution was found by both testers). my final thoughts on this? unless you're planning on trying to watch video from across the room, this solution will work for you.feeling a bit adventurous, i decided to test the headset with my ibook. i first tried to pair the pulsar up with my ibook using the belkin bt adapter. that didn't work. although i heard it clicking when the pairing process was going on, it never went through. not a problem, i'll use the dongle. using the dongle i was again able to hear the audio, but i was not able to get the unit to work as a mic/headphone combination. others have claimed to be able to get this to work, but for the average person, the short answer is that it doesn't work that great. i'm going to take n. nelson's comments one step further, if i may, and say that this unit is really only for audio sources / cell phone combinations.at the end of the night i decided to charge it. i placed it in the cradle and, sure enough, it started charging. at some point later i picked it up and then placed it back in the cradle and it didn't charge! i thought, ""a'ha! i proved another one true!"" not so fast... i took out the usb charger to see if the problem was the cable and began charging the headset off of that. a few minutes later i put the headset back in the cradle and low and behold, it began charging again! is there a hardware problem here? i'm not sure, but that is what i found. it charged smoothly the rest of the night.unfortunately, the one thing i was not able to test in a 24 hour time span was the design flaw. obviously i would have to use it every day for two weeks to see if this is true. my gut instinct is telling me that it's possible a bad batch of product is to blame, but i have no way of proving this. until i see it, i can't put faith in that it will happen to me. all i will say on this is that it apparently has happened to more then one person so it is possible that it could happen to you. one thing i did notice is that the headset gets ""stretched"" as you wear it, but then it gets ""compressed"" as you put it back in the cradle. could it be that all this stretching and compressing is causing the cracks? would this have happened to these people if they didn't use the cradle? i don't know. maybe the design flaw is in the cradle itself and not the headset. who knows...my final analysis of this product overall is very good. i don't think plantronics set out to make this the ""one stop shop"" for all headset needs (although they might want to have a conversation with their marketing department about ""truth in advertising""). while i was typing this i was listening to some good ol' fashioned punk rock using the dongle and i was bouncing my head the whole time; very enjoyable. i do believe that plantronics is preparing for the next wave in bluetooth technology by adding support for profiles that others don't support yet. all in all, if you're looking for a headset that can seamlessly switch between your cellphone and your ipod, then this will work for you. if you're looking for an ""one stop shop"" you will be sorely disappointed. one thing i would have liked to see would be some sort of design improvement where one of the earphones could flip outward thus to be legally complaint with driving requirements. they are the best option available (the motorola pair does not come with a transeiver which is something you have to purchase extra... and something else you have to carry and something else you run the risk of losing). in the end, will i buy these? probably, but i won't be running towards the store like a bat out of hell.
"
